polity_id,year_from,year_to,longitude,latitude,elevation,sub_category,magnitude,duration
CnQingE,1681,1681,112.442002,24.932152,382.5,Pestilence,Heavy,No description
CnQingE,1681,1681,109.261435,24.205451999999998,161.0,Pestilence,Heavy,No description
CnQingE,1681,1681,109.261435,24.205451999999998,161.0,Pestilence,Heavy,No description
CnQingE,1681,1681,109.261435,24.205451999999998,161.0,Pestilence,Heavy,No description
CnQingE,1681,1681,103.469749,28.772403000000004,1316.3,Pestilence,Heavy,No description
CnQingE,1681,1681,107.48024299999999,27.755353000000003,866.7,Pestilence,Heavy,No description
CnQingE,1681,1681,109.250795,26.920053000000003,364.2,Pestilence,Heavy,No description
CnQingE,1681,1681,107.48111399999999,26.775017,1029.1,Pestilence,Heavy,No description
CnQingE,1681,1681,114.197763,39.375898,1548.9,Pestilence,No description,No description
CnQingE,1681,1681,112.49636699999999,37.8367,806.1,Pestilence,Uncertain,No description
CnQingE,1681,1681,112.49636699999999,37.8367,806.1,Pestilence,Uncertain,No description
CnQingE,1681,1681,116.242079,30.102870000000003,21.0,Pestilence,Uncertain,No description
CnQingE,1681,1681,114.32198700000001,28.208046000000003,221.6,Pestilence,Uncertain,No description
CnQingE,1681,1681,120.20855900000001,23.002645,17.2,Pestilence,Uncertain,No description
CnQingE,1681,1681,120.30143500000001,22.627278,9.5,Pestilence,Uncertain,No description
CnQingE,1681,1681,113.42671299999999,34.510027,234.2,Pestilence,Uncertain,No description
CnQingE,1681,1681,113.379049,30.290531,25.6,Pestilence,Uncertain,No description
CnQingE,1681,1681,110.699448,21.440841,1.4,Pestilence,Uncertain,No description
CnQingE,1682,1682,108.63347900000001,23.520022,151.5,Pestilence,Heavy,No description
CnQingE,1682,1682,108.930351,23.165160999999998,101.1,Pestilence,Heavy,No description
CnQingE,1682,1682,105.901831,28.488658,270.8,Pestilence,Heavy,No description
CnQingE,1682,1682,105.901831,28.488658,270.8,Pestilence,Heavy,No description
CnQingE,1682,1682,103.772726,24.512778,1704.0,Pestilence,Heavy,No description
CnQingE,1682,1683,105.460374,28.094372999999997,671.8,Pestilence,No description,No description
CnQingE,1682,1682,105.198178,25.839585999999997,1440.4,Pestilence,No description,No description
